brand,product,hex,H,S,V,L,country
L'Or??al,Infalliable,daa271,28,0.48,0.85,71,US
Addiction,The Foundation,daa272,28,0.48,0.85,71,Japan
Est??e Lauder,Double Wear,d8a46d,31,0.5,0.85,71,US
Est??e Lauder,Double Wear,da926b,21,0.51,0.85,67,US
L'Or??al,Infalliable,da9e6b,28,0.51,0.85,70,US
Maybelline,Fit Me,d99358,27,0.59,0.85,67,US
L'Or??al,Infalliable,d99959,30,0.59,0.85,69,US
NARS,Velvet Matte,da9b5a,30,0.59,0.85,69,Japan
Trim & Prissy,Flawless Finish,d89757,30,0.6,0.85,68,Nigeria
L'Or??al,True Match,dcb29a,22,0.3,0.86,76,India
bareMinerals,barePRO,dcb79a,26,0.3,0.86,77,US
Maybelline,Fit Me Matte,dcb297,23,0.31,0.86,76,India
Revlon,ColorStay,dba787,23,0.38,0.86,73,US
bareMinerals,barePRO,dbae85,29,0.39,0.86,75,US
Kate,Secret Skin Maker Zero,dca67e,26,0.43,0.86,73,Japan
Addiction,The Foundation,db9e70,26,0.49,0.86,70,Japan
Shu Uemera,Petal Skin Fluid,dbab6d,34,0.5,0.86,73,Japan
L'Or??al,Infalliable,deb09e,17,0.29,0.87,76,US
L'Or??al,True Match,ddb496,25,0.32,0.87,76,India
Est??e Lauder,Double Wear,ddb491,28,0.34,0.87,76,US
Covergirl + Olay,Simply Ageless,deb192,24,0.34,0.87,76,US
Lakm??,Invisible Finish,deaf91,23,0.35,0.87,75,India
Revlon,ColorStay,dfa48c,17,0.37,0.87,73,US
bareMinerals,barePRO,deb58b,30,0.37,0.87,77,US
Nykaa,SKINgenius,dfab86,25,0.4,0.87,74,India
Revlon,ColorStay,de9a77,20,0.46,0.87,70,US
Addiction,The Foundation,dda376,26,0.47,0.87,72,Japan
Addiction,The Foundation,dfaa76,30,0.47,0.87,74,Japan
NARS,Velvet Matte,dfa575,27,0.48,0.87,73,Japan
NARS,Velvet Matte,dd9e6d,26,0.51,0.87,71,Japan
Est??e Lauder,Double Wear,dea365,31,0.55,0.87,72,US
Maybelline,Fit Me,e1bba7,21,0.26,0.88,79,US
Covergirl + Olay,Simply Ageless,e1b7a0,21,0.29,0.88,78,US
bareMinerals,barePRO,e0ab81,27,0.42,0.88,74,US
Revlon,ColorStay,e1a681,23,0.43,0.88,73,US
Covergirl + Olay,Simply Ageless,e1ad81,28,0.43,0.88,75,US
Shu Uemera,Petal Skin Fluid,e0aa7c,28,0.45,0.88,74,Japan
Kuddy,Matte Wear,e0a260,31,0.57,0.88,72,Nigeria
Dior,Diorskin Forever,e2bda2,25,0.28,0.89,79,Japan
Dior,Diorskin Forever,e4bf9a,30,0.32,0.89,80,Japan
Maybelline,Fit Me,e2b597,24,0.33,0.89,77,US
Revlon,ColorStay,e2ae8e,23,0.37,0.89,75,US
Covergirl + Olay,Simply Ageless,e3b490,26,0.37,0.89,77,US
Maybelline,Fit Me,e4b38e,26,0.38,0.89,77,US
Bharat & Doris,Liquid Foundation,e3b385,29,0.41,0.89,77,India
Maybelline,Fit Me,e3b082,28,0.43,0.89,76,US
Revlon,ColorStay,e4a87f,24,0.44,0.89,74,US
Trim & Prissy,Flawless Finish,e2ac7c,28,0.45,0.89,75,Nigeria
Trim & Prissy,Hi - Def,e2ac7c,28,0.45,0.89,75,Nigeria
